english_page_header,english_full_lyrics,chinese_trad_title--header,chinese_trad_lyrics--whole
Hymn 102 - O Blessed Son of God,"O blessed Son of God,
In love and faith we plead
That Thou wouldst bind our minds and hearts
In brotherhood of need.

Our Elder Brother Thou,
Whose heritage we share,
Our kindred lives we offer Thee,
In brotherhood of prayer.

Thou didst the will of Him
Who sent Thee from above;
Thou sendest us as He sent Thee,
In brotherhood of love.

Thou Man of Galilee,
O wilt Thou live again,
Abide within, control, inspire
Our brotherhood of men.",第 102 首 - 為主而活,"我活是為基督，死便有益、有福；
我的心目專向神國，做主忠心奴僕。

無論聰明，天賦，或是尊貴、財富，
都獻給主當作器具；求主使用、眷顧。

雖遭毀謗、厭棄，或有憂悶、失意，
也必為主盡力服事；總不厭倦、餒志。

為主背十字架，勇敢直前 不罷，
若非至死都不放下；為主捨命何怕？"
"Hymn 103 - Come, Oh, Come!","Come, oh, come, when Christ is calling,
Linger not in paths of sin;
Sever ev’ry tie that binds you,
And the heav’nly race begin.

Come, oh, come, while Christ is pleading;
Oh, what love His tones convey!
Will you slight His proffer’d mercy,
Will you longer from Him stray?

Come, oh, come, delay no longer,
For th’accepted time is now;
Yield, oh yield yourself to Jesus,
And before His sceptre bow.

REFRAIN
Calling now, calling now,
Hear the Saviour calling now;
Calling now, calling now,
Hear the Saviour calling now.",第 103 首 - 快親近主,"親近主，祂在呼喚你，勿再流連於罪途，
脫去一切纏累束縛，努力奔跑天國路。

親近主，祂在呼喚你，祂聲音充滿恩惠，
豈可輕忽主的憐憫，豈可遲疑空徘徊？

親近主，懇求祂悅納，快把握莫再耽延，
獻上身心交託耶穌，屈膝跪拜寶座前。

副歌
呼喚你，呼喚你，傾聽主在呼喚你。
呼喚你，呼喚你，傾聽主在呼喚你。"
"Hymn 104 - My Jesus, I Love Thee","My Jesus, I love Thee, I know Thou art mine,
For Thee all the follies of sin I resign;
My gracious Redeemer, my Saviour art Thou;
If ever I loved Thee, my Jesus, ’tis now.

I love Thee because Thou hast first loved me,
And purchased my pardon on Calvary’s tree;
I love Thee for wearing the thorns on Thy brow;
If ever I loved Thee, my Jesus, ’tis now.

I’ll love Thee in life, I will love Thee in death,
And praise Thee as long as Thou lendest me breath;
And say when the death dew lies cold on my brow,
If ever I loved Thee, my Jesus, ’tis now.

In mansions of glory and endless delight,
I’ll ever adore Thee in heaven so bright;
I’ll sing with the glittering crown on my brow,
If ever I loved Thee, my Jesus, ’tis now.",第 104 首 - 深愛耶穌,"我深愛主耶穌，因主先愛我，
在十架替我死，赦免眾罪過；
主為我戴荊冠，受羞辱、陷害，
若我曾愛救主，於今更親愛。

我深愛主耶穌，我已歸屬祢，
世上一切享樂，願為你丟棄；
你是我的救主，還清我罪債，
若我曾愛救主，於今更親愛。

我深愛主耶穌，永不離開主，
雖受困苦、逼迫，還要愛我主；
直到主再降臨，必儆醒等待，
若我曾愛救主，於今更親愛。

主再來迎接我，永住榮耀中，
那時仍要讚美我主大恩功；
戴榮耀的冠冕，是格外獎賞，
若我曾愛救主，於今更親愛。"
Hymn 105 - The Son of God Goes Forth to War,"The Son of God goes forth to war,
A kingly crown to gain;
His bloodred banner streams afar:
Who follows in His train?
Who best can drink his cup of woe,
Triumphant over pain,
Who patient bears his cross below,
He follows in His train.

The martyr first, whose eagle eye
Could pierce beyond the grave;
Who saw his Master in the sky,
And called on Him to save.
Like Him, with pardon on His tongue,
In midst of mortal pain,
He prayed for them that did the wrong:
Who follows in His train?

A glorious band, the chosen few
On whom the Spirit came;
Twelve valiant saints, their hope they knew,
And mocked the cross and flame.
They met the tyrant’s brandished steel,
The lion’s gory mane,
They bowed their heads the stroke to feel:
Who follows in their train?

A noble army, men and boys,
The matron and the maid,
Around the Saviour’s throne rejoice,
In robes of light arrayed.
They climbed the steep ascent of heav’n,
Through peril, toil, and pain:
O God, to us may grace be giv’n
To follow in their train.",第 105 首 - 為主捨命,"天上神子親臨戰場，祂已勝過死權，
血幟高舉，遙遙在望，誰堪列其陣行？
誰能與主同領苦杯，克服世間困苦？
堅忍背負十架跟隨，便能入主隊伍。

昔日首先捨命聖徒，剛強、勇敢、忍苦，
仰望高居寶座恩主，加添力量祐助；
雖在極度慘苦中間，尚能向主籲呼：
「求主赦免仇敵過犯！」誰能繼其步武？

上主所選忠貞使徒，先受聖靈鼓舞，
滿有能力，信心堅固，忠心順從恩主；
為道受難，不屈不撓，不畏暴君刀斧，
氣節凜然，視死如歸。誰能繼其步武？

男女、老幼，千萬聖徒，已經安息天府，
公義冠冕為之存留，怡然等主賞賜；
為義受迫，行完神旨，必進天國樂土，
願主賜我充足信心，亦能繼其步武。"
"Hymn 106 - Jesus, Blessed Saviour","Jesus, blessed Saviour, I will follow Thee;
For my sins You suffered, gave Your life for me;
Now I have redemption, by Thy sacrifice;
I will seek Thy glorious prize.

Jesus, blessed Saviour, I am ever Thine;
Tho’ the road before me wanders steep and blind;
Keep me on the pathway, in Thy precious love,
As I near my home above.

Jesus, blessed Saviour, guide me in Thy way;
Keep me safe beside Thee, evermore to stay;
Never let me wander, keep me in Thy light;
Be with me both day and night.

Jesus, blessed Saviour, by Thy Spirit blest,
In Your tender care I’ll find eternal rest;
Jesus, Saviour, keep me always by Thy side;
Let Thy grace in me abide.

REFRAIN
Jesus, blessed Saviour, by Thy grace I’m freed,
By Thy loving mercy, I am now redeemed;
Joyously my heart sings in eternal praise,
Lord, be with me all my days.",第 106 首 - 我是耶穌門徒,"我是耶穌門徒，祂是我救主，
從前我有罪孽，真是苦；
主已為我受死，救贖我罪惡，
所以我時常快樂。

我是耶穌門徒，必順主命令，
凡是主所吩咐，我要聽；
因主一切吩咐，皆與我有益，
所以我時常勉勵。

我是耶穌門徒，在遭難之時，
救主必定保祐，常扶持；
或是人要害我，或是遇死病，
我不怕，因主照應。

我是耶穌門徒，傳揚真福音，
是靠聖靈能力常幫助；
我必盡心竭力，晝夜都勤勞，
直到神國享永樂。

副歌
耶穌揀選我做祂門徒，
我要背十架奔天路，
遵從主的教訓、聖靈的引導，
主必使我得永福。"
"Hymn 107 - O Master, Let Me Walk with Thee","O Master, let me walk with Thee
In lowly paths of service free;
Tell me Thy secret, help me bear
The strain of toil, the fret of care.

Help me the slow of heart to move
By some clear, winning word of love;
Teach me the wayward feet to stay,
And guide them in the homeward way.

Teach me Thy patience; still with Thee
In closer, dearer company,
In work that keeps faith sweet and strong,
In trust that triumphs over wrong.

In hope that sends a shining ray
Far down the future’s broad’ning way,
In peace that only Thou canst give,
With Thee, O Master, let me live.",第 107 首 - 容我與主同行,"求主容我與祢同行，
甘願謙卑服事眾人。
求主指導處世秘訣，
教我忍耐，培養愛心。

求主助我善用愛心，
常以良言感化鄰人。
隨時隨地引人離惡，
跟從救主走向天庭。

求主教我溫柔、寧靜，
蒙主同在，與主相親。
在世工作，加添心力，
堅定信心，我必得勝。

求主賜我盼望常存，
光明前程主賜天恩。
喜樂平安，惟主賞賜，
願與我主永遠同行。"
Hymn 108 - ’Tis So Sweet to Trust in Jesus,"’Tis so sweet to trust in Jesus,
And to take Him at His word;
Just to rest upon His promise,
And to know, “Thus saith the Lord.”

O how sweet to trust in Jesus,
Just to trust His cleansing blood;
And in simple faith to plunge me 
’Neath the healing, cleansing flood!

Yes, ’tis sweet to trust in Jesus,
Just from sin and self to cease;
Just from Jesus simply taking
Life and rest, and joy and peace.

I’m so glad I learned to trust Thee,
Precious Jesus, Saviour, friend;
And I know that Thou art with me,
Wilt be with me to the end.

REFRAIN
Jesus, Jesus, how I trust Him!
How I’ve proved Him o’er and o’er!
Jesus, Jesus, precious Jesus!
O for grace to trust Him more!",第 108 首 - 跟從救主,"我今遵從救主命令，跟主背著十字架；
我今定志，時時親近，別人憎嫌，我不怕。

我受世人怨恨、逼迫，耶穌亦曾被欺侮；
眼前快樂，毫不羨慕，只有瞻望我救主。

我雖捨棄房屋、田產，世上榮華全然失；
為主受苦，必然得福，蒙主賞賜更豐富。

有主愛我，雖受患難，不能使我生憂傷；
主若離我，雖有富貴，不能使我得平康。

副歌
我要跟從救主耶穌，因主替我流寶血；
雖然有人前來阻擋，總要從主，心歡喜。"
Hymn 109 - Where He Leads Me,"I can hear my Saviour calling,
I can hear my Saviour calling,
I can hear my Saviour calling, 
“Take thy cross and follow, follow Me.”

I’ll go with Him through the garden,
I’ll go with Him through the garden,
I’ll go with Him through the garden,
I’ll go with Him, with Him all the way.

I’ll go with Him through the judgment,
I’ll go with Him through the judgment,
I’ll go with Him through the judgment,
I’ll go with Him, with Him all the way.

He will give me grace and glory,
He will give me grace and glory,
He will give me grace and glory,
And go with me, with me all the way.

REFRAIN
Where He leads me I will follow,
Where He leads me I will follow,
Where He leads me I will follow,
I’ll go with Him, with Him all the way.",第 109 首 - 踐主跡行,"我聽見我救主叫我，我聽見我救主叫我，
我聽見我救主叫我：「背著十架，十架跟從我！」
我願同過客西馬尼，我願同過客西馬尼，
我願同過客西馬尼，願與恩主，恩主一路行。

我願與主同去被審，我願與主同去被審，
我願與主同去被審，願與我主，我主同被審。
我願與主同釘十架，我願與主同釘十架，
我願與主同釘十架，願與恩主，恩主一路行。

我願與主同去埋葬，我願與主同去埋葬，
我願與主同去埋葬，願與我主，我主同埋葬。
我願與我主同復活，我願與我主同復活，
我願與我主同復活，願與恩主，恩主同復活。

我願與我主同升天，我願與我主同升天，
我願與我主同升天，願與我主，我主同升天。
主必要賜我真榮耀，主必要賜我真榮耀，
主必要賜我真榮耀，主必賜我，賜我真榮耀。"
"Hymn 110 - Jesus, I My Cross Have Taken","Jesus, I my cross have taken,
All to leave, and follow Thee;
Destitute, despised, forsaken,
Thou, from hence, my all shalt be;
Perish ev’ry fond ambition,
All I’ve sought or hoped or known;
Yet how rich is my condition:
God and heav’n are still my own!

Let the world despise and leave me,
They have left my Saviour, too;
Human hearts and looks deceive me,
Thou art not, like man, untrue;
And, while Thou shalt smile upon me,
God of wisdom, love, and might,
Foes may hate, and friends may shun me:
Show Thy face, and all is bright.

Man may trouble and distress me, 
’Twill but drive me to Thy breast;
Life with trials hard may press me,
Heav’n will bring me sweeter rest;
O ’tis not in grief to harm me,
While Thy love is left to me;
O ’twere not in joy to charm me,
Were that joy unmixed with Thee.

Haste thee on from grace to glory,
Armed by faith, and winged by prayer;
Heaven’s eternal day’s before thee,
God’s own hand shall guide thee there;
Soon shall close thy earthly mission,
Swift shall pass thy pilgrim days;
Hope shall change to glad fruition,
Faith to sight, and prayer to praise.
",第 110 首 - 撇物從主,"今我撇下凡百世物，甘背十架跟耶穌，
雖至貧寒多受委屈，心惟愛主做門徒；
任憑世界輕我、離我，救主也曾被棄侮，
但願全智、全能上主，慈愛待我永無殊。

世上名利任其失落，或遇凌辱，或遭害，
我惟事主憂則成樂，蒙主悅納窮即財；
友雖疏遠，敵雖怨謗，狂風、暴雨交迫來，
但我仰靠主愛、主恩，仍然平安笑顏開。

人雖向我騷擾、攻擊，卻是驅我到主前，
世界苦難越發壓迫，天上平安更覺甜；
但求我主待以恩愛，信德鍛鍊更貞堅，
萬般福氣若非主賜，焉能使我樂無邊？

須由恩中趨至榮耀，完全無罪、無懼憂，
永生盼望就在眼前，主必引領到盡頭；
靈戰獲勝，世路行完，公義冠冕為我留，
今所盼望將成實得，信則眼見，讚代求。"
"Hymn 111 - Rise Up, All Ye Slaves of Evil","Rise up! All ye slaves of evil,
Sin too long has oppressed and enchained you.
See now! Christ is mankind’s Saviour;
He can free you and your strength renew.

Rise up! All ye slaves of evil,
Night too long has blinded and deceived you.
See now! Christ is mankind’s true light;
Your eyes He can with new sight endue.

Rise up! All ye slaves of evil,
Make His goodness your goal of endeavor.
See now! Jesus and His Kingdom
Shine before you forever and ever.

REFRAIN
Rise up! Rise up! All ye slaves of evil!
Rise up! Be free! Forsake your sinful past.
Follow the Cross, to victory at last.",第 111 首 - 跟隨救主,"起來，全世界的罪奴！
你們受盡了多少的痛苦？
看哪，基督乃是救主！
祂將人類的罪惡擔負。

起來，全世界的罪奴！
你們深入了黑暗的迷途；
看哪，基督乃是真光！
祂已指示那光明天路。

起來，全世界的罪奴！
你們跟隨了基督的腳步；
看哪，神國已經來臨！
我們大家來歡欣、鼓舞。

副歌
起來，起來，全世界的罪奴！
起來，背著自己的十字架，
與惡魔奮鬥，跟隨我主走！"
Hymn 112 - Follow On,"Down in the valley with my Saviour I would go,
Where the flow’rs are blooming
and the sweet waters flow;
Everywhere He leads me I would follow, follow on,
Walking in His footsteps till the crown be won.

Down in the valley with my Saviour I would go,
Where the storms are sweeping
and the dark waters flow;
With His hand to lead me I will never, never fear,
Danger cannot fright me if my Lord is near.

Down in the valley, or upon the mountain steep,
Close beside my Saviour would my soul ever keep;
He will lead me safely
in the path that He has trod,
Up to where they gather on the hills of God.

REFRAIN
Follow! follow! I would follow Jesus!
Anywhere, everywhere, I would follow on!
Follow! follow! I would follow Jesus!
Everywhere He leads me I would follow on!",第 112 首 - 我跟隨主,"我願跟隨我救主，無論走何路，
或在快樂之地，或在憂苦之處；
既有救主引領，我願時刻跟隨主，
一路跟隨，直到天國生命樹。

我願跟隨我救主，無論走何路，
或遇狂風、暴雨，或遇荊棘滿途；
因主親手引領，我總不怕各災禍，
一路跟隨，直到天國生命河。

我願跟隨我救主，無論走何路，
我心靈常與主同在，永得堅固；
我所當走一生路途，主指引正確，
至終得到主所應許真福樂。

副歌
跟隨，跟隨，我願跟隨救主，
無論在何地方，我願跟隨主；
跟隨，跟隨，我願跟隨耶穌，
論何處，我必跟主不止步。"
"Hymn 113 - Come, Let Us Tune Our Loftiest Song","Come, let us tune our loftiest song
And raise to Christ our joyful strain;
Worship and thanks to Him belong,
Who reigns and shall forever reign.

His sov’reign pow’r our bodies made;
Our souls are His immortal breath;
And when His creatures sinned He bled
To save us from eternal death.

Burn, every breast with Jesus’ love;
Bound, every heart with rapturous joy;
And saints on earth, with saints above,
Your voices in His praise employ.

Extol the Lamb with loftiest song;
Prolong for Him your cheerful strain;
Worship and thanks to Him belong,
Who reigns and shall forever reign.",第 113 首 - 奉獻會堂,"天父鴻恩，何等高厚！
差遣耶穌，普救世人；
大地之上，高天之下，
萬民都當讚美主名。

今將會堂，奉獻與主，
大家歡喜，感謝天父；
凡來赴會，祈求天恩，
必蒙上主賜福無數。

進門稱謝，入堂讚美，
所獻靈祭，求主悅納；
更求神蹟，常顯不停，
增添選民，榮耀主名。"
"Hymn 114 - Soldiers of the Cross, Arise!","Soldiers of the cross, arise!
Lo! your Leader from the skies
Waves before you glory’s prize,
The prize of victory.
Seize your armor, gird it on;
Now the battle will be won;
See, the strife will soon be done;
Then struggle manfully.

Jesus conquered when He fell,
Met and vanquished earth and hell;
Now He leads you on to swell
The triumphs of His cross.
Though all earth and hell appear,
Who will doubt, or who can fear?
God, our strength and shield, is near;
We cannot lose our cause.

Onward, then, ye hosts of God!
Jesus points the victor’s rod;
Follow where your Leader trod;
You soon shall see His face.
Soon, your enemies all slain,
Crowns of glory you shall gain;
Soon you’ll join that glorious train
Who shout their Saviour’s praise.",第 114 首 - 感恩奉獻,"我要於主壇奉獻，我要於主壇奉獻，
我所有是主所賜；是我心所願。

我所奉獻主悅納，我所奉獻主悅納，
我所獻是主的物；已蒙主悅納。

我要信靠主應許，我要信靠主應許，
主必賜我更充足；主已經應許。

副歌
我樂意向主奉獻，我樂意向主奉獻，
我樂意向主奉獻；必蒙主恩眷。"
Hymn 115 - Around the Throne of God in Heaven,"Around the throne of God in heav’n
Thousands of children stand,
Children whose sins are all forgiv’n,
A holy, happy band,
Singing “Glory, glory,
Glory be to God on high.”

In flowing robes of spotless white
See ev’ry one arrayed;
Dwelling in everlasting light
And joys that never fade,
Singing “Glory, glory,
Glory be to God on high.”

What bro’t them to that world above,
That heav’n so bright and fair,
Where all is peace, and joy and love;
How came those children there,
Singing “Glory, glory,
Glory be to God on high.”

Because the Saviour shed His blood
To wash away their sin;
Bathed in that pure and precious flood,
Behold them white and clean,
Singing “Glory, glory,
Glory be to God on high.”

On earth they sought the Saviour’s grace,
On earth they loved His name;
So now they see His blessed face,
And stand before the Lamb,
Singing “Glory, glory,
Glory be to God on high.”",第 115 首 - 會堂落成,"基督聖會靈胞一體，天天同心聚集；
主顯能力，會堂落成，大家同蒙福祉。

救主耶穌釘十字架，捨己做我贖價；
報主鴻恩，建築會堂，同心事奉、敬拜。

今將會堂獻與主用，一切遵主旨意；
垂聽我們在此禱告，悅納所獻靈祭。

如今會堂既已落成，真道必更通行；
努力傳揚得救福音，引人信主得生。

會堂之上高舉主名，何等神聖、光榮！
信徒早晚殷勤聚會，頌讚、感謝不停。

副歌
口唱：「榮耀，榮耀，榮耀歸與天上神！」"
Hymn 116 - Christ Is Coming!,"Christ is coming!
Let creation from her groans and travail cease;
Let the glorious proclamation
hope restore and faith increase:
Christ is coming!
Christ is coming!
Come, Thou blessed Prince of Peace.

Earth can now but tell the story of
Thy bitter cross and pain;
She shall yet behold Thy glory,
When Thou comest back to reign:
Christ is coming!
Christ is coming!
Let each heart repeat the strain.

Long Thine exiles have been pining,
far from rest, and home, and Thee:
But, in heav’nly vestures shining,
they their loving Lord shall see:
Christ is coming!
Christ is coming!
Haste the joyous jubilee.

With that blessed hope before us,
let no harp remain unstrung;
Let the mighty advent chorus
onward roll from tongue to tongue: “Christ is coming!
Christ is coming!
Come, Lord Jesus, quickly come!”",第 116 首 - 獻上身心,"全能真神萬福根源，使我心靈樂讚美，
真神恩典如水長流，我們享受無窮極；
今將身心獻為活祭，求主悅納莫丟棄。

我前如羊迷失正路，主是良牧來尋覓，
拯救我難，為我捨命，領歸羊圈得安逸；
今將身心獻為活祭，求主悅納莫丟棄。

真神恩典實無窮盡，主的慈愛不止息，
我今在世蒙主牧養，安歇水邊、青草地；
今將身心獻為活祭，求主悅納莫丟棄。

慈悲救主如此愛我，一生一世大感激，
我深知道我力軟弱，不能報答於萬一；
今將身心獻為活祭，求主悅納莫丟棄。"
Hymn 117 - Hymn of Offering,"Hallelujah, Amen!
Gifts we bring to Thee alone;
Lord, we adore Thee, Kneeling now,
here before Thy throne;
Oh, wondrous Saviour, Who will reign forever!

Hallelujah, Amen!
To the Holy Lord we sing!
All comes from Thee, O Loving Father,
let praises ring!
Oh, wondrous Saviour, Who will reign forever!",第 117 首 - 奉獻祈納,"哈利路亞，阿們！奉主耶穌聖名奉獻，
求父神悅納，更求聖靈賜智善用。
榮耀，榮耀歸天上父神！

哈利路亞，阿們！奉主耶穌聖名奉獻，
我一切所有，都是父神所賞賜的。
感謝，感謝萬有之真神！"
Hymn 118 - Take My Life and Let it Be,"Take my life and let it be
Consecrated, Lord, to Thee;
Take my hands and let them move
At the impulse of Thy love.
All to Thee, all to Thee,
Consecrated, Lord, to Thee.

Take my feet and let them be
Swift and beautiful for Thee;
Take my voice and let me sing
Always only for my King.
All to Thee, all to Thee,
Consecrated, Lord, to Thee.

Take my lips and let them be
Fill’d with messages from Thee;
Take my silver and my gold,
Not a mite would I withhold.
All to Thee, all to Thee,
Consecrated, Lord, to Thee.

Take my love, my God, I pour
At Thy feet its treasure store;
Take myself, and I will be
Ever, only, all for Thee.
All to Thee, all to Thee,
Consecrated, Lord, to Thee.",第 118 首 - 奉獻全生,"虔誠奉獻我財物，願為聖工盡本分；
虔誠奉獻我知識，任主使用盡所能。

虔誠奉獻我歌喉，祇有歌詠君王恩；
虔誠奉獻我舌頭，時時傳達主聲音。

虔誠奉獻我雙手，主愛激勵勤工作；
虔誠奉獻我雙足，奉命奔跑美又速。

虔誠奉獻我光陰，讓主差遣傳福音；
虔誠奉獻我全生，終身遵主旨意行。

副歌
全為主，勤為主，歡然、忠誠永為主。"
Hymn 119 - All for Jesus,"All for Jesus! all for Jesus!
All my being’s ransomed pow’rs:
All my thoughts and words and doings,
All my days and all my hours.
All for Jesus! all for Jesus!
All my being’s ransomed pow’rs;
All for Jesus! all for Jesus!
All my days and all my hours.

Let my hands perform His bidding;
Let my feet run in His ways;
Let my eyes see Jesus only,
Let my lips speak forth His praise.
All for Jesus! all for Jesus!
Let my feet run in His ways;
All for Jesus! all for Jesus!
Let my lips speak forth His praise.

Since my eyes were fixed on Jesus,
I’ve lost sight of all beside –
So enchained my spirit’s vision,
Looking at the Crucified.
All for Jesus! all for Jesus!
I’ve lost sight of all beside;
All for Jesus! all for Jesus!
All for Jesus Crucified.
",第 119 首 - 都歸耶穌我救主,"願我全心、才智、工夫，都歸耶穌我救主；
既由罪惡蒙主救出，理當完全歸耶穌。

願我雙手為主服務，願我雙足跟主行；
願我雙目仰望耶穌，願我口舌頌主名。

任憑世人貪愛世福，尋求今生虛榮耀；
每逢想到十架救贖，我惟以主為至寶。

副歌
都歸耶穌，都歸耶穌，都歸耶穌我救主；
都歸耶穌，都歸耶穌，都歸耶穌我救主。"
Hymn 120 - I Surrender All,"All to Jesus I surrender,
All to Him I freely give;
I will ever love and trust Him,
In His presence daily live.

All to Jesus I surrender,
Make me, Saviour, wholly Thine;
Let me feel the Holy Spirit
Truly know that Thou art mine.

All to Jesus I surrender,
Lord, I give myself to Thee;
Fill me with Thy love and power,
Let Thy blessing fall on me.

REFRAIN
I surrender all,
I surrender all;
All to Thee, my blessed Saviour,
I surrender all.",第 120 首 - 奉獻所有,"我將所有獻與耶穌，是甘心樂意奉獻；
我要時常愛主、靠主，與主相親至永遠。

我將所有獻與耶穌，謙卑俯伏主前求；
世界快樂甘願撇棄，求主今將我收留。

我將所有獻與耶穌，是甘心樂意奉獻；
我要時常愛主、靠主，與主相親至永遠。

副歌
將所有奉獻，將所有奉獻；
獻與慈愛、尊貴救主，將所有奉獻。"
"Hymn 121 - O Sacred Head, Now Wounded","O sacred Head, now wounded,
With grief and shame weighed down;
Now scornfully surrounded,
With thorns Thine only crown:
How art Thou pale with anguish,
With sore abuse and scorn;
How does that visage languish
Which once was bright as morn!

What Thou, my Lord, hast suffered
Was all for sinners’ gain:
Mine, mine was the transgression,
But Thine the deadly pain.
Lo, here I fall, my Saviour! ’Tis I deserve Thy place;
Look on me with Thy favor,
Vouchsafe to me Thy grace.

What language shall I borrow
To thank Thee, dearest Friend,
For this Thy dying sorrow,
Thy pity without end?
O make me Thine forever;
And should I fainting be,
Lord, let me never, never
Outlive my love to Thee.",第 121 首 - 我獻何物給耶穌？,"我獻何物給耶穌，報祂賜我大福？
深知萬一難報答，只將身心歸屬；
我獻愛心給耶穌，終生事主、順服，
恩主必定肯悅納，所獻活祭禮物。

我獻愛心給耶穌，撒但無法阻擋，
因主明說要愛祂，此言我永不忘；
若要主心得滿足，只有愛祂堅強，
打破玉瓶澆香膏，使主滿身芬香。

我獻愛心給耶穌，並非空說不行，
應當遵守祂真道，力行祂新命令；
受苦、捨命不足惜，為祂廣傳福音，
努力餵養祂群羊，勇敢做祂精兵。"
Hymn 122 - Blest Be the Tie That Binds,"Blest be the tie that binds
Our hearts in Christian love;
The fellowship of kindred minds
Is like to that above.

Before our Father’s throne
We pour our ardent prayers;
Our fears, our hopes, our aims are one,
Our comforts and our cares.

We share our mutual woes,
Our mutual burdens bear;
And often for each other flows
The sympathizing tear.

When we asunder part,
It gives us inward pain;
But we shall still be joined in heart,
And hope to meet again.",第 122 首 - 彼此相愛,"兄弟相愛、相親，須要心誠、意真；
彼此聯合，同意、同心，真是神家的人。

在父寶座之前，都蒙天父愛憐；
彼此饒恕，互相代禱，快樂在地如天。

我也將你體諒，你也代我擔當；
若見同靈愁苦非常，大家同感心傷。

在世雖有勞苦，盡心、竭力相助；
等主來時，接回天家，共享無窮鴻福。"
Hymn 123 - God Be with You till We Meet Again,"God be with you till we meet again,
By His counsels guide, uphold you,
With His sheep securely fold you:
God be with you till we meet again.

God be with you till we meet again, 
’Neath His wings securely hide you,
Daily manna still provide you:
God be with you till we meet again.

God be with you till we meet again,
When life’s perils thick confound you,
Put His loving arms around you:
God be with you till we meet again.

God be with you till we meet again,
Keep love’s banner floating o’er you,
Smite death’s threat’ning wave before you:
God be with you till we meet again.

REFRAIN
Till we meet, till we meet,
Till we meet at Jesus’ feet;
Till we meet, till we meet,
God be with you till we meet again.",第 123 首 - 聖徒送行,"願主保護你，再會有期；
以祂慈手引你、領你，
如羊在圈愛你、憐你。
願主保護你，再會有期。

願主保護你，再會有期；
以祂愛旗招你、率你，
主之聖言訓你、誨你。
願主保護你，再會有期。

願主保護你，再會有期；
雖有艱難困你、擾你，
主之聖臂扶你、抱你。
願主保護你，再會有期。

願主保護你，再會有期；
全能翼下覆你、庇你，
各樣恩惠賜你、隨你。
願主保護你，再會有期。

副歌
等再會，等再會，等再會，在耶穌足前；
等再會，等再會，願主保護你，再會有期。"
Hymn 124A - The Better Land,"There is a land mine eye hath seen,
In visions of enraptured thought,
So bright that all which spreads between
Is with its radiant glories fraught.

A land upon whose blissful shore
There rests no shadow, falls no stain;
There those who meet shall part no more,
And those long parted meet again.

Its skies are not like earthly skies,
With varying hues of shade and light;
It hath no need of suns to rise
To dissipate the gloom of night.

There sweeps no desolating wind
Across the calm, serene abode:
The wand’rer there a home may find
Within the paradise of God.

REFRAIN
O land of love, of joy and light,
Thy glories gild earth’s darkest night;
Thy tranquil shore we too shall see,
When day shall break and shadows flee.",第 124 (甲) 首 - 實行愛心,"愛心乃是恆久忍耐，任苦、任勞，不生怨艾；
愛心乃是富有恩慈，待人如己，樂善、好施；
愛心乃是毫不嫉妒，不忌賢能，不懷陰毒；
愛心乃是毫不自誇，謙遜為懷，出言無邪。

愛心乃是絕不張狂，尊重別人，舉止端莊；
愛心乃是不做羞事，光明、公正，毫不自欺；
愛心乃是不求己益，捨己助人，盡力所及；
愛心乃是不輕發怒，心性溫和，寧可讓步。

愛心乃是不計人惡，饒恕人過，如主饒我；
愛心乃是不喜不義，待人以德，嫉惡如敵；
愛心乃是只喜真理，棄絕異端，嚴守正義；
愛心乃是凡事包容、遮掩、體諒，度量寬宏

愛心乃是凡事相信，忠誠相處，毫不妄疑；
愛心乃是凡事盼望，多留餘地，殘燈重光；
愛心乃是凡事忍耐，百忍堂中，永有和諧；
愛心乃是永不止息，努力實行，福樂無極。

副歌
等再會，等再會，等再會，在耶穌足前；
等再會，等再會，願主保護你，再會有期。"
Hymn 124B - The Better Land,"There is a land mine eye hath seen,
In visions of enraptured thought,
So bright that all which spreads between
Is with its radiant glories fraught.

A land upon whose blissful shore
There rests no shadow, falls no stain;
There those who meet shall part no more,
And those long parted meet again.

Its skies are not like earthly skies,
With varying hues of shade and light;
It hath no need of suns to rise
To dissipate the gloom of night.

There sweeps no desolating wind
Across the calm, serene abode:
The wand’rer there a home may find
Within the paradise of God.

REFRAIN
O land of love, of joy and light,
Thy glories gild earth’s darkest night;
Thy tranquil shore we too shall see,
When day shall break and shadows flee.",第 124 (乙) 首 - 實行愛心,"愛心乃是恆久忍耐，任苦、任勞，不生怨艾；
愛心乃是富有恩慈，待人如己，樂善、好施；
愛心乃是毫不嫉妒，不忌賢能，不懷陰毒；
愛心乃是毫不自誇，謙遜為懷，出言無邪。

愛心乃是絕不張狂，尊重別人，舉止端莊；
愛心乃是不做羞事，光明、公正，毫不自欺；
愛心乃是不求己益，捨己助人，盡力所及；
愛心乃是不輕發怒，心性溫和，寧可讓步。

愛心乃是不計人惡，饒恕人過，如主饒我；
愛心乃是不喜不義，待人以德，嫉惡如敵；
愛心乃是只喜真理，棄絕異端，嚴守正義；
愛心乃是凡事包容、遮掩、體諒，度量寬宏。

愛心乃是凡事相信，忠誠相處，毫不妄疑；
愛心乃是凡事盼望，多留餘地，殘燈重光；
愛心乃是凡事忍耐，百忍堂中，永有和諧；
愛心乃是永不止息，努力實行，福樂無極。"
